data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-01-31,consistent,1,160
2021-06-29,2021-01-30,inconsistent,0,2
2021-06-29,2021-01-30,consistent,2,700
2021-06-29,2021-01-29,inconsistent,0,6
2021-06-29,2021-01-29,consistent,4,1674
2021-06-29,2021-01-28,inconsistent,0,6
2021-06-29,2021-01-28,consistent,2,1007
2021-06-29,2021-01-27,consistent,3,1264
2021-06-29,2021-01-26,inconsistent,0,8
2021-06-29,2021-01-26,consistent,3,1201
2021-06-29,2021-01-25,inconsistent,0,10
2021-06-29,2021-01-25,consistent,3,936
