data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-02-13,inconsistent,0,233
2021-06-25,2021-02-13,consistent,1,1436
2021-06-25,2021-02-12,inconsistent,0,32
2021-06-25,2021-02-12,consistent,1,759
2021-06-25,2021-02-11,inconsistent,0,12
2021-06-25,2021-02-11,consistent,1,1195
2021-06-25,2021-02-10,inconsistent,0,34
2021-06-25,2021-02-10,consistent,1,856
2021-06-25,2021-02-09,inconsistent,0,8
2021-06-25,2021-02-09,consistent,1,359
2021-06-25,2021-02-08,inconsistent,0,38
2021-06-25,2021-02-08,consistent,0,153
