data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-14,2021-06-29,inconsistent,0,8
2021-02-14,2021-06-29,consistent,0,51
2021-02-13,2021-06-29,inconsistent,0,4
2021-02-13,2021-06-29,consistent,0,1239
2021-02-12,2021-06-29,inconsistent,0,56
2021-02-12,2021-06-29,consistent,1,4021
2021-02-11,2021-06-29,inconsistent,0,34
2021-02-11,2021-06-29,consistent,1,4249
2021-02-10,2021-06-29,inconsistent,0,25
2021-02-10,2021-06-29,consistent,1,5316
2021-02-09,2021-06-29,inconsistent,0,102
2021-02-09,2021-06-29,consistent,1,4782
2021-02-08,2021-06-29,inconsistent,0,6
2021-02-08,2021-06-29,consistent,1,3432
2021-02-07,2021-06-29,inconsistent,0,7
2021-02-07,2021-06-29,consistent,0,643
2021-02-06,2021-06-29,inconsistent,0,6
2021-02-06,2021-06-29,consistent,0,1280
2021-02-05,2021-06-29,inconsistent,0,18
2021-02-05,2021-06-29,consistent,1,5676
2021-02-04,2021-06-29,inconsistent,0,38
2021-02-04,2021-06-29,consistent,1,4371
2021-02-03,2021-06-29,inconsistent,0,10
2021-02-03,2021-06-29,consistent,1,4196
2021-02-02,2021-06-29,inconsistent,0,18
2021-02-02,2021-06-29,consistent,2,4827
2021-02-01,2021-06-29,inconsistent,0,30
2021-02-01,2021-06-29,consistent,2,4525
2021-01-31,2021-06-29,consistent,0,27
2021-01-30,2021-06-29,consistent,0,45
2021-01-29,2021-06-29,inconsistent,0,186
2021-01-29,2021-06-29,consistent,1,6543
2021-01-28,2021-06-29,inconsistent,0,56
2021-01-28,2021-06-29,consistent,2,7936
2021-01-27,2021-06-29,inconsistent,0,46
2021-01-27,2021-06-29,consistent,2,8985
2021-01-26,2021-06-29,inconsistent,0,67
2021-01-26,2021-06-29,consistent,2,7990
2021-01-25,2021-06-29,inconsistent,0,34
2021-01-25,2021-06-29,consistent,2,4493
2021-01-24,2021-06-29,inconsistent,0,4
2021-01-24,2021-06-29,consistent,0,585
2021-01-23,2021-06-29,inconsistent,0,37
2021-01-23,2021-06-29,consistent,1,1851
2021-01-22,2021-06-29,inconsistent,0,108
2021-01-22,2021-06-29,consistent,2,5062
2021-01-21,2021-06-29,inconsistent,0,82
2021-01-21,2021-06-29,consistent,3,6568
2021-01-20,2021-06-29,inconsistent,0,39
2021-01-20,2021-06-29,consistent,3,5776
2021-01-19,2021-06-29,inconsistent,0,12
2021-01-19,2021-06-29,consistent,0,628
2021-01-18,2021-06-29,consistent,0,96
2021-01-17,2021-06-29,consistent,1,3
