data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-06-20,consistent,3,4816
2021-06-29,2021-06-19,inconsistent,0,4
2021-06-29,2021-06-19,consistent,11,35472
2021-06-29,2021-06-18,inconsistent,0,88
2021-06-29,2021-06-18,consistent,7,15775
2021-06-29,2021-06-17,inconsistent,0,14
2021-06-29,2021-06-17,consistent,7,20529
2021-06-29,2021-06-16,inconsistent,0,22
2021-06-29,2021-06-16,consistent,7,20306
2021-06-29,2021-06-15,inconsistent,0,32
2021-06-29,2021-06-15,consistent,7,21813
2021-06-29,2021-06-14,inconsistent,0,36
2021-06-29,2021-06-14,consistent,7,19879
