data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-01-24,2021-06-29,inconsistent,0,29
2021-01-23,2021-06-29,inconsistent,0,73
2021-01-22,2021-06-29,inconsistent,0,297
2021-01-22,2021-06-29,consistent,2,6359
2021-01-21,2021-06-29,inconsistent,0,200
2021-01-21,2021-06-29,consistent,2,6901
2021-01-20,2021-06-29,inconsistent,0,217
2021-01-20,2021-06-29,consistent,4,6601
2021-01-19,2021-06-29,inconsistent,0,145
2021-01-19,2021-06-29,consistent,2,4076
2021-01-18,2021-06-29,inconsistent,0,6
2021-01-18,2021-06-29,consistent,0,18
2021-01-17,2021-06-29,consistent,0,7
2020-03-23,2021-06-29,wrong_date,2,8
