data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-03-28,inconsistent,0,10
2021-06-29,2021-03-27,inconsistent,0,34
2021-06-29,2021-03-27,consistent,5,15357
2021-06-29,2021-03-26,inconsistent,0,526
2021-06-29,2021-03-26,consistent,5,8574
2021-06-29,2021-03-25,inconsistent,0,653
2021-06-29,2021-03-25,consistent,6,16927
2021-06-29,2021-03-24,inconsistent,1,1072
2021-06-29,2021-03-24,consistent,10,17524
2021-06-29,2021-03-23,inconsistent,0,58
2021-06-29,2021-03-23,consistent,9,19638
2021-06-29,2021-03-22,inconsistent,0,727
2021-06-29,2021-03-22,consistent,7,12925
