age,dose,count
18,1,6
19,1,9
20,1,12
21,1,12
22,1,9
23,1,10
24,1,9
25,1,6
26,1,10
27,1,5
28,1,7
29,1,10
30,1,8
31,1,4
32,1,7
33,1,6
34,1,8
35,1,23
36,1,18
37,1,12
38,1,27
39,1,25
40,1,17
41,1,16
42,1,23
43,1,13
44,1,17
45,1,3
46,1,2
47,1,11
48,1,10
49,1,3
50,1,7
51,1,5
52,1,5
53,1,8
54,1,3
55,1,27
56,1,21
57,1,22
58,1,18
59,1,23
60,1,798
61,1,724
62,1,720
63,1,101
64,1,35
65,1,21
66,1,20
67,1,10
68,1,6
69,1,3
70,1,4
71,1,5
72,1,3
73,1,3
74,1,1
75,1,3
80,1,1
81,1,1
84,1,1
90,1,1
91,1,1
18,2,1
19,2,2
20,2,3
21,2,1
22,2,2
24,2,3
25,2,4
26,2,4
27,2,4
28,2,1
29,2,3
30,2,4
31,2,3
32,2,5
33,2,4
34,2,4
35,2,1
36,2,3
37,2,7
38,2,4
39,2,6
40,2,7
41,2,2
42,2,5
43,2,3
44,2,4
45,2,1
46,2,4
47,2,84
48,2,100
49,2,96
50,2,87
51,2,84
52,2,82
53,2,98
54,2,86
55,2,75
56,2,72
57,2,63
58,2,47
59,2,53
60,2,46
61,2,59
62,2,30
63,2,21
64,2,32
65,2,24
66,2,13
67,2,82
68,2,26
69,2,87
70,2,39
71,2,35
72,2,23
73,2,24
74,2,18
75,2,4
76,2,1
77,2,2
78,2,1
80,2,2
81,2,1
82,2,4
85,2,3
87,2,1
90,2,1
91,2,1
92,2,2
94,2,2
95,2,1
121,2,1
