data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-25,2021-01-31,inconsistent,0,1241
2021-06-25,2021-01-31,consistent,0,3270
2021-06-25,2021-01-30,inconsistent,1,7159
2021-06-25,2021-01-30,consistent,2,15495
2021-06-25,2021-01-29,inconsistent,5,36418
2021-06-25,2021-01-29,consistent,8,62281
2021-06-25,2021-01-28,inconsistent,6,44640
2021-06-25,2021-01-27,inconsistent,4,32778
2021-06-25,2021-01-27,consistent,7,52293
2021-06-25,2021-01-26,inconsistent,4,27124
2021-06-25,2021-01-26,consistent,5,39168
2021-06-25,2021-01-25,inconsistent,3,26328
2021-06-25,2021-01-25,consistent,5,38578
